"Composite Scores For Private, Non-Profit and Proprietary Institutions with Fiscal Years Ending Between 7/1/2022 and 6/30/2023
Grouped by:  State, Institution Name
1518.0,00297800,Wake Forest University,Winston-Salem,NC,27106-0000,45107.0,Non Profit,3.0
1519.0,00297900,Warren Wilson College,Swannanoa,NC,28778-2099,45107.0,Non Profit,2.2
1520.0,00648300,Watts College of Nursing,Durham,NC,27705-2505,45107.0,Non Profit,2.3
1521.0,00295300,William Peace University,Raleigh,NC,27604-1194,45107.0,Non Profit,2.2
1522.0,00298500,Wingate University,Wingate,NC,28174-0159,45077.0,Non Profit,2.2
1523.0,03009500,Winston - Salem Barber School,Winston-Salem,NC,27127-3757,44926.0,Proprietary,-0.4
1524.0,04139400,Hair Academy (The),Bismarck,ND,58501-4929,44926.0,Proprietary,2.6
1525.0,01040600,"Josef's School of Hair, Skin & Body",Grand Forks,ND,58201-6394,44926.0,Proprietary,1.6
1526.0,04223500,Lynnes Welding Training,Fargo,ND,58102-4018,44926.0,Proprietary,1.0
1527.0,04031300,Salon Professional Academy (The),Fargo,ND,58103-3337,44926.0,Proprietary,2.3
1528.0,01205900,Trinity Bible College and Graduate School,Ellendale,ND,58436-7105,45107.0,Non Profit,3.0
1529.0,02301100,Turtle Mountain Community College,Belcourt,ND,58316-0000,45107.0,Non Profit,3.0
1530.0,00299000,University of Jamestown,Jamestown,ND,58405-3401,45107.0,Non Profit,2.1
1531.0,00299200,University of Mary,Bismarck,ND,58504-9652,45107.0,Non Profit,2.8
1532.0,00974300,Bellevue University,Bellevue,NE,68005-3098,45107.0,Non Profit,3.0
1533.0,00639900,Bryan College of Health Sciences,Lincoln,NE,68506-1398,44926.0,Non Profit,2.3
1534.0,00961700,Capitol Beauty School,Omaha,NE,68137-2325,44926.0,Proprietary,2.6
1535.0,00849200,CHI Health School of Radiologic Technology,Omaha,NE,68122-9832,45107.0,Non Profit,1.7
1536.0,00986200,Clarkson College,Omaha,NE,68131-2739,45107.0,Non Profit,2.6
1537.0,02079700,College of Hair Design,Lincoln,NE,68508-2199,45107.0,Proprietary,2.3
1538.0,00254000,College of Saint Mary,Omaha,NE,68106-2606,45107.0,Non Profit,2.4
1539.0,00254100,Concordia University,Seward,NE,68434-1594,45107.0,Non Profit,2.8
1540.0,00254400,Doane University,Crete,NE,68333-2421,45107.0,Non Profit,3.0
1541.0,04132600,Entourage Institute of Beauty and Esthetics,Lincoln,NE,68516-2306,45107.0,Proprietary,2.1
1542.0,00254800,Hastings College,Hastings,NE,68901-7621,45107.0,Non Profit,3.0
1543.0,01151900,Joseph's College Cosmetology,Lincoln,NE,68505-2463,45107.0,Proprietary,1.8
1544.0,00255300,Midland University,Fremont,NE,68025-4254,45077.0,Non Profit,2.2
1545.0,03279300,Myotherapy Institute,Lincoln,NE,68510-2601,44926.0,Proprietary,-1.0
1546.0,00640400,Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,68114-2852,44926.0,Non Profit,2.3
1547.0,00255500,Nebraska Wesleyan University,Lincoln,NE,68504-2796,45077.0,Non Profit,2.5
1548.0,04240800,Summit Christian College,Gering,NE,69341-2309,45107.0,Non Profit,1.0
1549.0,00256300,Union Adventist University,Lincoln,NE,68506-4387,45077.0,Non Profit,2.1
1550.0,03821400,Universal College of Healing Arts,Omaha,NE,68112-1810,44926.0,Proprietary,2.6
1551.0,00256700,York University,York,NE,68467-2699,45107.0,Non Profit,3.0
1552.0,00257200,Colby-Sawyer College,New London,NH,03257-4648,45107.0,Non Profit,3.0
1553.0,00257300,Dartmouth College,Hanover,NH,03755-3529,45107.0,Non Profit,3.0
1554.0,00864500,Empire Beauty Schools,Hookset,NH,03106-9716,44926.0,Proprietary,2.0
1555.0,02179600,Empire Beauty Schools,Somersworth,NH,03878-1592,44926.0,Proprietary,2.0
1556.0,00257500,Franklin Pierce University,Rindge,NH,03461-0060,45077.0,Non Profit,2.3
1557.0,04263000,Harmony Health Care Institute,Merrimack,NH,03054-0000,44926.0,Proprietary,2.6
1558.0,02245400,Keene Beauty Academy,Keene,NH,03431-1513,44926.0,Proprietary,2.8
1559.0,00257900,New England College,Henniker,NH,03242-3293,45107.0,Non Profit,2.3
1560.0,02247000,New England School of Hair Design,West Lebanon,NH,03784-2003,44926.0,Proprietary,1.8
1561.0,03729300,New Hampshire Institute for Therapeutic Arts,Nashua,NH,03060-4906,44926.0,Proprietary,3.0
1562.0,02211600,Paul Mitchell The School Portsmouth,Portsmouth,NH,03801-4084,45046.0,Proprietary,1.7
1563.0,00258600,Rivier University,Nashua,NH,03060-5086,45107.0,Non Profit,3.0
1564.0,00258700,Saint Anselm College,Manchester,NH,03102-1310,45107.0,Non Profit,3.0
1565.0,00258000,Southern New Hampshire University,Manchester,NH,03106-1045,45107.0,Non Profit,3.0
1566.0,03043100,Thomas More College of Liberal Arts,Merrimack,NH,03054-4818,45077.0,Non Profit,2.8
1567.0,03437300,Upper Valley Educators Institute,Lebanon,NH,03766-1358,45107.0,Non Profit,3.0
1568.0,04229100,Advantage Career Institute,Eatontown,NJ,07724-0000,44926.0,Proprietary,-0.3
1569.0,04234400,American Institute of Alternative Medicine,East Brunswick,NJ,08816-3727,44926.0,Proprietary,1.0
1570.0,04136400,American Institute of Medical Sciences & Education,Piscataway,NJ,08854-3870,44926.0,Proprietary,2.4
1571.0,02525900,Artistic Academy of Hair Design (The),Morris Plains,NJ,07950-1409,45107.0,Proprietary,2.7
1572.0,04188700,ASI Career Institute,Turnersville,NJ,08012-1043,44926.0,Proprietary,1.8
1573.0,00545200,Aviation Institute of Maintenance,Hasbrouck Heights,NJ,07604-3015,44926.0,Proprietary,2.7
1574.0,04266000,Bais Medrash Mayan Hatorah,Lakewood,NJ,08701-1445,44804.0,Non Profit,1.9
1575.0,04081300,Bais Medrash Toras Chesed,Lakewood,NJ,08701-0000,44926.0,Non Profit,2.4
1576.0,00750200,Berkeley College,Woodland Park,NJ,07424-3367,45107.0,Proprietary,1.8
1577.0,04181400,Best Care College,East Orange,NJ,07018-1703,44926.0,Proprietary,2.6
1578.0,00794700,Beth Medrash Govoha of America,Lakewood,NJ,08701-2754,45016.0,Non Profit,3.0
1579.0,04251500,Beth Medrash of Asbury Park,Lakewood,NJ,08701-5842,44804.0,Non Profit,3.0
1580.0,00259800,Caldwell University,Caldwell,NJ,07006-6195,45107.0,Non Profit,2.3
1581.0,00259900,Centenary University,Hackettstown,NJ,07840-2184,45107.0,Non Profit,1.0
1582.0,04216500,Center for the Healing Arts,Voorhees,NJ,08043-1911,44926.0,Proprietary,3.0
1583.0,04184500,Christine Valmy International School of Esthetics & Cosmetology,Pine Brook,NJ,07058-9589,45046.0,Proprietary,3.0
1584.0,04260400,Cutting Edge Academy,Succasunna,NJ,07876-1311,44926.0,Proprietary,1.5
1585.0,00260300,Drew University,Madison,NJ,07940-4063,45107.0,Non Profit,0.6
1586.0,03122600,Eastern International College,Jersey City,NJ,07306-3906,44926.0,Proprietary,3.0
1587.0,03811300,Eastern School of Acupuncture and Traditional Medicine,Bloomfield,NJ,07003-3426,44804.0,Proprietary,1.8
1588.0,02053700,Eastwick College,Ramsey,NJ,07446-2546,44926.0,Proprietary,3.0
1589.0,01246200,Eastwick College - Hackensack Campus.,Hackensack,NJ,07601-7197,44926.0,Proprietary,3.0
1590.0,02092300,Eastwick College - Nutley Campus,Nutley,NJ,07110-9802,44926.0,Proprietary,3.0
1591.0,00260700,Fairleigh Dickinson University,Teaneck,NJ,07666-1996,45107.0,Non Profit,2.2
1592.0,00261000,Felician University,Lodi,NJ,07644-2198,45107.0,Non Profit,1.6
1593.0,02132300,Fortis Institute,Wayne,NJ,07470-7041,45107.0,Proprietary,-0.5
1594.0,00260800,Georgian Court University,Lakewood,NJ,08701-2697,45107.0,Non Profit,2.2
1595.0,04293300,Hackensack Meridian School of Medicine,Nutley,NJ,07110-1912,44926.0,Non Profit,2.2
1596.0,03803300,Healthcare Training Institute,Union,NJ,07083-3504,44926.0,Proprietary,1.6
1597.0,00849400,HoHoKus School of Trade and Technical Sciences,Paterson,NJ,07513-1402,44926.0,Proprietary,3.0
1598.0,00641700,Holy Name Medical Center School of Nursing,Englewood Cliffs,NJ,07632-0000,44926.0,Non Profit,2.0
1599.0,04218500,Innovate Salon Academy,South Plainfield,NJ,07080-0000,44926.0,Proprietary,1.9
1600.0,04134100,Jersey College,Teterboro,NJ,07608-1104,45107.0,Proprietary,3.0
1601.0,00642100,JFK  Medical Center Muhlenberg Harold B. and Dorothy A. Snyder Schools,Plainfield,NJ,07061-3399,44926.0,Non Profit,2.2
1602.0,04180300,Keser Torah - Mayan Hatalmud,Lakewood,NJ,08701-2758,45107.0,Non Profit,2.0
1603.0,01246100,Lincoln Technical Institute,Iselin,NJ,08830-1636,44926.0,Proprietary,2.9
1604.0,04207500,Medical Career Institute,Ocean,NJ,07712-7202,44926.0,Proprietary,2.3
1605.0,04257800,Mobile Technical Training,South Hackensack,NJ,07606-0000,44926.0,Proprietary,2.4
1606.0,00261600,Monmouth University,West Long Branch,NJ,07764-1898,45107.0,Non Profit,2.3
1607.0,04154900,National Career Institute,East Orange,NJ,07018-2011,45107.0,Proprietary,2.0
1608.0,00261900,New Brunswick Theological Seminary,New Brunswick,NJ,08901-1196,45107.0,Non Profit,2.2
1609.0,03424500,New Community Career and Technical Institute,Newark,NJ,07103-2419,44926.0,Non Profit,1.6
1610.0,00759300,Parisian Beauty Academy Paul Mitchell Partner School,Hackensack,NJ,07601-5509,45107.0,Proprietary,2.7
1611.0,01062900,PB Cosmetology Education Centre,Gloucester City,NJ,08030-1750,44926.0,Proprietary,3.0
1612.0,03650600,PC Age,Jersey City,NJ,07306-3936,44926.0,Proprietary,2.5
1613.0,02131600,Pennco Tech,Blackwood,NJ,08012-9961,45107.0,Proprietary,2.1
1614.0,03666300,Pillar College,Newark,NJ,07102-5511,45107.0,Non Profit,-1.0
1615.0,00262600,Princeton Theological Seminary,Princeton,NJ,08540-0803,45107.0,Non Profit,3.0
1616.0,00262700,Princeton University,Princeton,NJ,08544-2001,45107.0,Non Profit,2.2
1617.0,04277800,Pro Beauty Academy (The),Edison,NJ,08820-2843,44926.0,Proprietary,3.0
1618.0,03077500,Rabbi Jacob Joseph School,Edison,NJ,08817-4494,45107.0,Non Profit,3.0
1619.0,00860900,Rabbinical College of America,Morristown,NJ,07960-3600,45107.0,Non Profit,3.0
1620.0,00861700,Rabbinical Seminary Mkor Chaim,Lakewood,NJ,08701-5827,45107.0,Non Profit,3.0
1621.0,00262800,Rider University,Lawrenceville,NJ,08648-3099,45107.0,Non Profit,0.2
1622.0,01090300,Rizzieri Aveda School for Beauty and Wellness,Voorhees,NJ,08043-4600,44926.0,Proprietary,2.8
1623.0,02528200,Robert Fiance Beauty Schools,North Plainfield,NJ,07060-4840,44804.0,Proprietary,2.9
1624.0,01209000,Robert Fiance Beauty Schools,Perth Amboy,NJ,08861-4118,44834.0,Proprietary,1.7
1625.0,02223700,Robert Fiance Beauty Schools,West New York,NJ,07093-4623,44926.0,Proprietary,2.4
1626.0,00260000,Saint Elizabeth University,Morristown,NJ,07960-6989,45107.0,Non Profit,2.2
1627.0,04298800,Salon Professional Academy (The),Howell,NJ,07731-3385,45107.0,Proprietary,2.0
1628.0,04271200,Seminary Bnos Chaim,Lakewood,NJ,08701-4301,45107.0,Non Profit,2.6
1629.0,00263200,Seton Hall University,South Orange,NJ,07079-2697,45107.0,Non Profit,3.0
1630.0,02234600,Shore Beauty School,Egg Harbor Township,NJ,08234-2621,44926.0,Proprietary,2.1
1631.0,00263900,Stevens Institute of Technology,Hoboken,NJ,07030-5370,45107.0,Non Profit,2.2
1632.0,01198900,Talmudical Academy,Adelphia,NJ,07710-0000,45107.0,Non Profit,2.6
1633.0,04131200,Total Image Beauty Academy,Union City,NJ,07087-2943,44926.0,Proprietary,1.3
1634.0,04216000,Universal Training Institute,Perth Amboy,NJ,08861-4106,44926.0,Proprietary,2.0
1635.0,04261200,Yeshiva Bais Aharon,Lakewood,NJ,08701-2053,44804.0,Non Profit,3.0
1636.0,04264900,Yeshiva Chemdas Hatorah,Lakewood,NJ,08701-4618,44773.0,Non Profit,3.0
1637.0,04280100,Yeshiva Gedola Tiferes Yaakov Yitzchok,Lakewood,NJ,08701-5502,44804.0,Non Profit,2.6
1638.0,04273800,Yeshiva Gedola Tiferes Yerachmiel,Lakewood,NJ,08701-0000,44804.0,Non Profit,2.2
1639.0,04265300,Yeshiva Gedolah Keren Hatorah,Lakewood,NJ,08701-1239,44773.0,Non Profit,3.0
1640.0,04269300,Yeshiva Gedolah of Cliffwood,Keyport,NJ,07735-5105,45107.0,Non Profit,2.5
1641.0,04252000,Yeshiva Gedolah Shaarei Shmuel,Lakewood,NJ,08701-3623,44804.0,Non Profit,2.4
1642.0,04264400,Yeshiva Gedolah Tiferes Boruch,North Plainfield,NJ,07060-0000,44773.0,Non Profit,3.0
1643.0,04192400,Yeshiva Gedolah Zichron Leyma,Union,NJ,07083-3618,45107.0,Non Profit,2.3
1644.0,04279600,Yeshiva Ohr Zechariah,Lakewood,NJ,08701-0000,44804.0,Non Profit,1.7
1645.0,04131100,Yeshiva Toras Chaim,Lakewood,NJ,08701-2120,44804.0,Non Profit,2.9
1646.0,04216100,Yeshiva Yesodei Hatorah,Lakewood,NJ,08701-4946,44804.0,Non Profit,3.0
1647.0,04123400,Yeshivas Be'er Yitzchok,Elizabeth,NJ,07208-2380,44773.0,Non Profit,2.7
1648.0,04270300,Yeshivas Emek Hatorah,Howell,NJ,07731-2444,44804.0,Non Profit,3.0
1649.0,04283300,A Better U Beauty Barber Academy,Albuquerque,NM,87110-3128,44926.0,Proprietary,1.7
1650.0,04174500,Aveda Institute of New Mexico (The),Albuquerque,NM,87104-1160,44926.0,Proprietary,2.0
1651.0,04271600,"Avenue Academy, A Cosmetology Institute (The)",Albuquerque,NM,87112-3449,44926.0,Proprietary,2.4
1652.0,04259300,Burrell College of Osteopathic Medicine,Las Cruces,NM,88001-6056,45107.0,Proprietary,2.1
1653.0,04276000,Glitz School of Cosmetology,Las Cruces,NM,88011-4531,44926.0,Proprietary,1.6
1654.0,01300500,Olympian Academy of Cosmetology,Las Cruces,NM,88001-5330,44926.0,Proprietary,2.0
1655.0,04162400,Paul Mitchell the School Albuquerque,Albuquerque,NM,87110-4404,44926.0,Proprietary,2.8
1656.0,03678300,Pima Medical Institute,Albuquerque,NM,87110-3935,44926.0,Proprietary,2.3
1657.0,00209300,Saint John's College,Santa Fe,NM,87505-4599,45107.0,Non Profit,3.0
1658.0,03076100,Southwestern College,Santa Fe,NM,87507-0000,44804.0,Non Profit,2.2
1659.0,00265000,University of the Southwest,Hobbs,NM,88240-9129,45077.0,Non Profit,3.0
1660.0,04178500,Vogue College of Cosmetology,Santa Fe,NM,87505-7636,44926.0,Proprietary,1.9
1661.0,01323200,Academy of Hair Design,Las Vegas,NV,89146-1617,45107.0,Proprietary,2.6
1662.0,04171000,Advanced Training Institute,Las Vegas,NV,89118-1519,44926.0,Proprietary,0.9
1663.0,04147600,Aveda Institute Las Vegas,Las Vegas,NV,89119-6103,44926.0,Proprietary,3.0
1664.0,03881400,European Massage Therapy School  (The),Las Vegas,NV,89117-8826,44926.0,Proprietary,2.3
1665.0,04144800,International Academy of Style,Reno,NV,89502-1559,44926.0,Proprietary,3.0
1666.0,04269800,L Makeup Institute,Las Vegas,NV,89145-6247,44926.0,Proprietary,0.1
1667.0,02237500,Las Vegas College,Las Vegas,NV,89113-5391,44926.0,Proprietary,0.9
1668.0,03838500,Northwest Career College,Las Vegas,NV,89128-0255,44926.0,Proprietary,1.5
1669.0,04186300,Paul Mitchell the School Las Vegas,Las Vegas,NV,89123-8014,45107.0,Proprietary,3.0
1670.0,04203100,Paul Mitchell The School Reno,Reno,NV,89502-3356,44926.0,Proprietary,2.3
1671.0,04065300,Roseman University of Health Sciences,Henderson,NV,89014-2333,45107.0,Non Profit,2.6
1672.0,04296700,Sierra Academy of Style,Carson City,NV,89701-6324,44926.0,Proprietary,1.4
1673.0,04248800,Wongu University of Oriental Medicine,Las Vegas,NV,89123-2836,45107.0,Non Profit,2.2
1674.0,04213400,Access Careers,Hempstead,NY,11550-0000,44926.0,Proprietary,2.4
1675.0,04043300,Ace Institute of Technology,Elmhurst,NY,10018-6473,44926.0,Proprietary,1.5
1676.0,00266600,Adelphi University,Garden City,NY,11530-4299,44804.0,Non Profit,2.2
1677.0,04204300,"Aesthetic Science Institute, (The)",Latham,NY,12110-1095,44926.0,Proprietary,1.9
1678.0,02171900,Ailey School (The),New York,NY,10019-4402,45107.0,Non Profit,2.8
1679.0,00288500,Albany College of Pharmacy and Health Sciences,Albany,NY,12208-3492,45107.0,Non Profit,2.3
1680.0,00288600,Albany Law School of Union University,Albany,NY,12208-3494,45107.0,Non Profit,2.2
1681.0,00288700,Albany Medical College,Albany,NY,12208-3479,44926.0,Non Profit,2.2
1682.0,00266800,Alfred University,Alfred,NY,14802-1205,45107.0,Non Profit,3.0
1683.0,03358300,Allen School,Jamaica,NY,11432-4901,44926.0,Proprietary,1.6
1684.0,04223300,Alliance Computing Solutions,Flushing,NY,11354-6507,44926.0,Proprietary,2.8
1685.0,01081300,American Academy McAllister Institute,New York,NY,10036-5505,44834.0,Non Profit,3.0
1686.0,00746500,American Academy of Dramatic Arts,New York,NY,10016-7089,44804.0,Non Profit,2.6
1687.0,03903400,American Beauty School,Bronx,NY,10462-8003,44926.0,Proprietary,1.5
1688.0,00757200,American Musical & Dramatic Academy,New York,NY,10023-2106,45107.0,Non Profit,1.9
1689.0,04234900,AMG School of Nursing,Brooklyn,NY,11201-1728,44926.0,Proprietary,3.0
1690.0,00751800,Apex Technical School,Long Island City,NY,11101-5107,44834.0,Non Profit,0.6
1691.0,00643500,Arnot Ogden Medical Center,Elmira,NY,14905-1676,44926.0,Non Profit,1.3
1692.0,04223100,ARROJO Academy,New York,NY,10014-4960,44926.0,Proprietary,2.4
1693.0,02506000,Associated Beth Rivkah Schools,Brooklyn,NY,11225-3096,44804.0,Non Profit,2.0
1694.0,04178700,Atelier Esthetique Institute of Esthetics,New York,NY,10001-6700,44926.0,Proprietary,1.9
1695.0,03839300,Aveda Arts & Sciences Institute New York,New York,NY,10013-1522,45107.0,Proprietary,1.9
1696.0,04267800,Bais Binyomin Academy,Monsey,NY,10952-2430,45107.0,Non Profit,1.5
1697.0,04284600,Bais Medrash of Dexter Park,Chesnut Ridge,NY,10977-6805,44773.0,Non Profit,2.8
1698.0,00266900,Bank Street College of Education,New York,NY,10025-1898,45107.0,Non Profit,2.6
1699.0,04189000,Barber & Beauty Institute of New York,Hempstead,NY,11550-6317,44926.0,Proprietary,1.9
1700.0,00267100,Bard College,Annandale-on-Hudson,NY,12504-5000,45107.0,Non Profit,1.3
1701.0,00270800,Barnard College,New York,NY,10027-6598,45107.0,Non Profit,2.5
1702.0,04192800,Be'er Yaakov Talmudic Seminary,Spring Valley,NY,10977-1912,44834.0,Non Profit,3.0
1703.0,03713300,Beis Medrash Heichal Dovid,Far Rockaway,NY,11691-4433,44804.0,Non Profit,2.3
1704.0,01183000,Berk Trade and Business School,Long Island City,NY,11101-0000,44926.0,Proprietary,2.1
1705.0,00739400,Berkeley College,New York,NY,10017-4604,45107.0,Proprietary,2.3
1706.0,04273200,Berkowits School of Electrolysis,Forest Hills,NY,11375-6820,44926.0,Proprietary,3.0
1707.0,04227200,Bet Medrash Gadol Ateret Torah,Brooklyn,NY,11223-1933,44804.0,Non Profit,2.2
1708.0,01119200,Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY,11204-1052,44804.0,Non Profit,2.5
1709.0,04210400,Beth Medrash Meor Yitzchok,Monsey,NY,10952-4023,44804.0,Non Profit,2.5
1710.0,00644500,Bill and Sandra Pomeroy College of Nursing at Crouse Hospital,East Syracuse,NY,13057-9205,44926.0,Non Profit,0.4
1711.0,02582000,Bnos Zion Of Bobov Seminary,Brooklyn,NY,11219-3221,44804.0,Non Profit,3.0
1712.0,01302900,Boricua College,New York,NY,10032-1599,45107.0,Non Profit,2.3
1713.0,02105900,Brittany Beauty Academy,Brooklyn,NY,11209-5409,44926.0,Proprietary,2.5
1714.0,00928400,Brittany Beauty School,Levittown,NY,11756-1345,44895.0,Proprietary,2.0
1715.0,00267700,Brooklyn Law School,Brooklyn,NY,11201-3798,45107.0,Non Profit,3.0
1716.0,00267800,Bryant & Stratton College,Buffalo,NY,14203-1630,44926.0,Non Profit,2.4
1717.0,00268100,"Canisius University of Buffalo, New York",Buffalo,NY,14208-1098,45077.0,Non Profit,2.4
1718.0,02056400,Capri Cosmetology Learning Center,Nanuet,NY,10954-4915,45107.0,Proprietary,1.6
1719.0,04125600,Career School of NY,Staten Island,NY,10301-2416,44926.0,Non Profit,0.0
1720.0,01161700,Center for Allied Health Education,Brooklyn,NY,11229-9023,44926.0,Proprietary,2.0
1721.0,04234200,Center for Ultrasound Research & Education,White Plains,NY,10604-5104,44926.0,Proprietary,1.6
1722.0,04243200,Central Yeshiva Beth Joseph,Brooklyn,NY,11230-6043,44804.0,Non Profit,2.2
1723.0,00477600,Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,11213-3619,45107.0,Non Profit,3.0
1724.0,01161400,Champlain Valley Physicians Hospital Medical Center,Plattsburgh,NY,12901-1490,44834.0,Non Profit,1.5
1725.0,03096200,Charles Stuart School,Brooklyn,NY,11229-2004,44926.0,Proprietary,2.4
1726.0,04233700,"Christine Valmy International School forEsthetics, Skin Care & Make-up",New York,NY,10036-5501,45046.0,Proprietary,2.0
1727.0,02125500,Circle in the Square Theatre School,New York,NY,10019-6795,45107.0,Non Profit,3.0
1728.0,00269900,Clarkson University,Potsdam,NY,13699-1403,45107.0,Non Profit,2.0
1729.0,00644300,Cochran School of Nursing - St. John's Riverside Hospital,Yonkers,NY,10701-1399,44926.0,Non Profit,-0.2
1730.0,00270000,Colgate Rochester Crozer Divinity School,Rochester,NY,14607-2589,45107.0,Non Profit,2.2
1731.0,00270100,Colgate University,Hamilton,NY,13346-1386,45107.0,Non Profit,2.6
1732.0,00270300,College of Mount Saint Vincent,Riverdale,NY,10471-1093,45107.0,Non Profit,2.8
1733.0,00520800,College of Westchester (The),White Plains,NY,10606-1231,44926.0,Proprietary,2.2
1734.0,00270700,Columbia University in the City of New York,New York,NY,10027-0000,45107.0,Non Profit,2.7
1735.0,04276900,Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,Brooklyn,NY,11204-0000,44804.0,Non Profit,3.0
1736.0,00818900,Continental School of Beauty Culture,West Seneca,NY,14224-3402,44926.0,Proprietary,2.5
1737.0,00752200,Continental School of Beauty Culture,Rochester,NY,14623-3231,44926.0,Proprietary,2.5
1738.0,00271000,Cooper Union for the Advancement of Science & Art (The),New York,NY,10003-7120,45107.0,Non Profit,2.9
1739.0,00271100,Cornell University,Ithaca,NY,14853-2801,45107.0,Non Profit,2.7
1740.0,00730400,Culinary Institute of America,Hyde Park,NY,12538-1499,45077.0,Non Profit,3.0
1741.0,04234300,Culinary Tech Center,New York,NY,10022-9502,44926.0,Proprietary,1.6
1742.0,00280800,Daemen University,Amherst,NY,14226-3592,45077.0,Non Profit,2.4
1743.0,02169100,Davis College,Johnson City,NY,13790-2700,45107.0,Non Profit,3.0
1744.0,04280500,Derech Hachaim Seminary,Monroe,NY,10950-2924,44804.0,Non Profit,1.8
1745.0,00271300,Dominican University New York,Orangeburg,NY,10962-1210,45107.0,Non Profit,1.1
1746.0,00271200,D'Youville University,Buffalo,NY,14201-1084,45077.0,Non Profit,2.5
1747.0,04117100,E.D.P. School,Brooklyn,NY,11235-0000,44926.0,Non Profit,3.0
1748.0,04223800,Electrical and HVAC/R Training Center,Copiague,NY,11726-2701,44926.0,Proprietary,2.9
1749.0,04251400,Elim Bible Institute and College,Lima,NY,14485-9704,45077.0,Non Profit,2.4
1750.0,00644800,"Ellis Medicine, The Belanger School of Nursing",Schenectady,NY,12304-1009,44926.0,Non Profit,0.3
1751.0,00271800,Elmira College,Elmira,NY,14901-2099,45107.0,Non Profit,1.6
1752.0,04262200,Elyon College,Brooklyn,NY,11204-4801,44804.0,Non Profit,3.0
1753.0,00283400,Excelsior University,Albany,NY,12203-5159,45107.0,Non Profit,3.0
1754.0,02160100,Finger Lakes- Geneva General,Geneva,NY,14456-1651,44926.0,Non Profit,2.2
1755.0,04250200,Focus Personal Training Institute,New York,NY,10001-6217,45107.0,Proprietary,1.5
1756.0,00272200,Fordham University,Bronx,NY,10458-5157,45107.0,Non Profit,2.8
1757.0,04282800,Glasgow Caledonian New York College,New York,NY,10012-4350,44773.0,Non Profit,-0.6
1758.0,04223200,Grace International Beauty School,Flushing,NY,11355-2446,44926.0,Proprietary,3.0
1759.0,00272800,Hamilton College,Clinton,NY,13323-1218,45107.0,Non Profit,2.9
1760.0,00272900,Hartwick College,Oneonta,NY,13820-4020,45107.0,Non Profit,1.9
1761.0,00405400,Hebrew Union College - Jewish Institute of Religion,New York,NY,10012-1186,45107.0,Non Profit,2.2
1762.0,01015300,Helene Fuld College of Nursing,New York,NY,10035-2745,44926.0,Non Profit,2.2
1763.0,03216300,HJ International Graduate School for Peace and Public Leadership,New York City,NY,10036-7408,45107.0,Non Profit,2.1
1764.0,00273100,Hobart and William Smith Colleges,Geneva,NY,14456-3397,45107.0,Non Profit,2.2
1765.0,00273200,Hofstra University,Hempstead,NY,11549-1010,44804.0,Non Profit,2.2
1766.0,00273400,Houghton University,Houghton,NY,14744-0128,45077.0,Non Profit,2.3
1767.0,02206000,Hunter Business School,Levittown,NY,11756-1331,44926.0,Proprietary,2.6
1768.0,04144300,Institute of Culinary Education,New York,NY,10281-5205,44926.0,Proprietary,3.0
1769.0,00273700,Iona University,New Rochelle,NY,10801-1890,45107.0,Non Profit,3.0
1770.0,00737500,Island Drafting & Technical Institute,Amityville,NY,11701-2704,45107.0,Proprietary,2.3
1771.0,00273900,Ithaca College,Ithaca,NY,14850-7000,45107.0,Non Profit,3.0
1772.0,00849500,Jamestown Business College,Jamestown,NY,14702-0429,45107.0,Proprietary,3.0
1773.0,00274000,Jewish Theological Seminary of America (The),New York,NY,10027-4649,45107.0,Non Profit,1.6
1774.0,00274200,Juilliard School (The),New York,NY,10023-6588,45107.0,Non Profit,2.5
1775.0,01054900,Kehilath Yakov Rabbinical Seminary,Ossining,NY,10562-1001,45107.0,Non Profit,1.7
1776.0,00274800,Le Moyne College,Syracuse,NY,13214-1399,45077.0,Non Profit,2.4
1777.0,03568300,Leon Studio One School of Beauty Knowledge,Williamsville,NY,14221-5323,44926.0,Proprietary,1.8
1778.0,03433500,Lia Schorr Institute of Cosmetic Skin Care Training (The),New York,NY,10019-2813,44895.0,Proprietary,0.9
1779.0,00738700,Long Island Beauty School,Hauppauge,NY,11788-4346,44926.0,Proprietary,1.9
1780.0,00738800,Long Island Beauty School,Hempstead,NY,11550-3704,45107.0,Proprietary,1.9
1781.0,02093700,Long Island Business Institute,Flushing,NY,11354-2997,44804.0,Proprietary,3.0
1782.0,04180200,Long Island Nail Skin & Hair Institute,Bethpage,NY,11714-3596,44926.0,Proprietary,2.8
1783.0,00275100,Long Island University,Brookville,NY,11548-1326,44804.0,Non Profit,3.0
1784.0,01302600,Machzikei Hadath Rabbinical College,Brooklyn,NY,11204-1805,44926.0,Non Profit,1.5
1785.0,00740100,Mandl School,New York,NY,10019-5516,44926.0,Proprietary,1.8
1786.0,00275800,Manhattan College,Riverdale,NY,10471-4098,45107.0,Non Profit,2.8
1787.0,03193300,Manhattan School of Computer Technology,Brooklyn,NY,11230-1617,44926.0,Non Profit,3.0
1788.0,00275900,Manhattan School of Music,New York,NY,10027-4689,45107.0,Non Profit,2.2
